PLAYER NAME,TEAM,OPPONENT,DATE,POS,"starter
1=y
0=n","venue
1=h
0=a",MINS,FGM,FGA,3PM,3PA,FTM,FTA`,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS,"double dbl
1=y
0=n","triple dbl
1=y
0=n",dk score,fd score
C. Zeller,Hornets,Magic,12/17/2020,PF,1,0,18,4,10,1,3,1,2,3,3,6,1,0,0,1,2,7,10,0,0,19,17.7
P. Washington,Hornets,Magic,12/17/2020,PF,1,0,28,2,7,1,2,0,0,0,1,1,4,1,1,1,3,-2,5,0,0,16.25,17.2
C. Martin,Hornets,Magic,12/17/2020,SF,1,0,24,4,7,1,3,0,0,2,3,5,1,2,0,0,2,-4,9,0,0,21.25,22.5
T. Rozier,Hornets,Magic,12/17/2020,PG,1,0,28,6,13,3,6,5,5,1,6,7,2,3,0,1,2,16,20,0,0,38.75,39.4
D. Graham,Hornets,Magic,12/17/2020,PG,1,0,28,7,17,4,10,0,0,0,4,4,6,1,0,1,1,8,18,0,0,35.5,33.8
J. McDaniels,Hornets,Magic,12/17/2020,PF,0,0,18,3,6,1,1,0,0,0,5,5,3,0,0,3,3,6,7,0,0,16.75,14.5
C. Martin,Hornets,Magic,12/17/2020,SF,1,0,14,2,3,1,1,3,3,0,3,3,1,0,0,1,1,1,8,0,0,13.25,12.1
M. Bridges,Hornets,Magic,12/17/2020,SF,0,0,23,8,12,1,5,0,0,2,2,4,2,0,0,0,2,9,17,0,0,25.5,24.8
B. Biyombo,Hornets,Magic,12/17/2020,C,0,0,21,2,4,0,0,0,0,2,4,6,3,0,1,0,0,7,4,0,0,18,18.7
L. Ball,Hornets,Magic,12/17/2020,PG,0,0,26,7,17,4,9,0,0,0,2,2,5,1,0,3,3,2,18,0,0,30.5,27.9
M. Monk,Hornets,Magic,12/17/2020,SG,0,0,13,3,5,1,1,0,0,0,0,0,4,1,0,0,0,-10,7,0,0,15.5,16
A. Gordon,Magic,Hornets,12/17/2020,PF,1,0,23,4,10,0,2,3,3,2,7,9,2,0,1,0,3,-9,11,0,0,27.25,27.8
N. Vucevic,Magic,Hornets,12/17/2020,C,1,0,32,12,20,3,8,0,0,3,9,12,1,1,0,2,2,-4,27,1,0,47.5,43.9
M. Fultz,Magic,Hornets,12/17/2020,PG,1,0,31,6,16,0,4,2,2,2,4,6,6,1,0,2,2,-7,14,0,0,31.5,31.2
E. Fournier,Magic,Hornets,12/17/2020,SG,1,0,30,2,6,0,3,0,0,0,2,2,1,0,2,4,2,-5,4,0,0,10,9.9
D. Bacon,Magic,Hornets,12/17/2020,SG,1,0,26,4,8,1,1,4,4,1,4,5,2,1,0,2,2,-7,13,0,0,23.75,23
K. Birch,Magic,Hornets,12/17/2020,PF,0,0,16,5,6,0,0,0,1,4,1,5,2,0,1,0,0,-4,10,0,0,21.25,22
G. Clark,Magic,Hornets,12/17/2020,PF,0,0,6,0,0,0,0,0,0,0,3,3,0,1,0,2,0,2,0,0,0,4.75,4.6
C. Okeke,Magic,Hornets,12/17/2020,PF,0,0,18,2,5,2,4,0,0,0,1,1,2,2,0,2,0,-1,6,0,0,14.25,14.2
