name,avg_hit_speed
Ender Inciarte,78.2
Omar Narvaez,81.6
Hanser Alberto,82.2
Victor Robles,82.2
Alex Gordon,82.8
Luis Garcia,83.5
Didi Gregorius,83.8
Kurt Suzuki,83.9
Eric Sogard,84.4
David Fletcher,84.7
Yadier Molina,84.7
Nicky Lopez,84.9
Shogo Akiyama,85.1
Daniel Murphy,85.1
Danny Jansen,85.1
Raimel Tapia,85.3
Willi Castro,85.3
Matt Kemp,85.3
Edwin Encarnacion,85.4
Adam Frazier,85.5
Kevin Newman,85.5
Corey Dickerson,85.7
Ty France,85.7
J.P. Crawford,85.8
Josh Reddick,85.9
Rougned Odor,86
Harrison Bader,86
Whit Merrifield,86.1
Kris Bryant,86.1
Martin Maldonado,86.1
Marcus Semien,86.2
Mauricio Dubon,86.2
Jason Kipnis,86.2
Renato Nunez,86.3
Garrett Hampson,86.3
Carson Kelly,86.3
Jose Iglesias,86.4
Hunter Dozier,86.4
Tommy Edman,86.5
Kolten Wong,86.5
Amed Rosario,86.5
Andrelton Simmons,86.5
Jorge Polanco,86.6
Jeff McNeil,86.6
Jon Berti,86.6
Maikel Franco,86.7
Jose Altuve,86.7
Joey Wendle,86.7
Jonathan Villar,86.7
Matt Joyce,86.7
Andres Gimenez,86.8
Charlie Blackmon,86.9
Alex Verdugo,87
Freddy Galvis,87
Austin Hays,87
Starling Marte,87.1
Kevin Pillar,87.1
Shed Long Jr.,87.1
Isiah Kiner-Falefa,87.2
Tim Anderson,87.2
Jurickson Profar,87.2
Brandon Nimmo,87.2
Jonathan Schoop,87.2
Tim Lopes,87.2
Miguel Rojas,87.3
Johan Camargo,87.3
Cavan Biggio,87.4
Joey Votto,87.4
Brian Anderson,87.4
Keston Hiura,87.4
Avisail Garcia,87.4
Eddie Rosario,87.5
Bryan Reynolds,87.5
Ryan Mountcastle,87.5
Joe Panik,87.5
Nico Hoerner,87.5
Jason Heyward,87.6
Anthony Rizzo,87.7
Nick Ahmed,87.7
Jean Segura,87.7
Ramon Laureano,87.7
Pedro Severino,87.7
Kevin Kiermaier,87.7
Nolan Arenado,87.8
Adam Eaton,87.8
Yoan Moncada,87.8
Todd Frazier,87.8
Wilmer Flores,87.9
Luis Robert,87.9
Victor Caratini,87.9
Austin Romine,87.9
Ben Gamel,87.9
Tommy La Stella,88
Carlos Santana,88
Chris Taylor,88
Tyler O'Neill,88
Rio Ruiz,88.1
Adam Duvall,88.1
Stephen Piscotty,88.1
Mike Yastrzemski,88.2
Aaron Hicks,88.2
Mitch Moreland,88.2
Matt Carpenter,88.2
Trent Grisham,88.3
Jackie Bradley Jr.,88.3
Kyle Lewis,88.3
Michael Chavis,88.3
Yandy Diaz,88.3
Michael Conforto,88.4
Christian Vazquez,88.4
Cedric Mullins,88.4
Donovan Solano,88.5
Max Muncy,88.5
Max Kepler,88.5
Erik Gonzalez,88.5
Enrique Hernandez,88.5
Eduardo Escobar,88.6
Carlos Correa,88.6
Anthony Santander,88.6
Albert Pujols,88.6
Jacob Stallings,88.6
Jedd Gyorko,88.6
Jose Ramirez,88.7
George Springer,88.7
Michael Brantley,88.7
Brandon Crawford,88.7
Pat Valaika,88.7
Eric Thames,88.7
Willy Adames,88.8
Gleyber Torres,88.8
Mike Moustakas,88.8
Niko Goodrum,88.8
Randal Grichuk,88.9
Alex Bregman,88.9
Leody Taveras,88.9
Xander Bogaerts,89
Luke Voit,89
Orlando Arcia,89
Robbie Grossman,89
Wilson Ramos,89
Nick Markakis,89
Ji-Man Choi,89
Cesar Hernandez,89.1
Kyle Seager,89.1
Dansby Swanson,89.1
Eugenio Suarez,89.1
Shohei Ohtani,89.1
Ketel Marte,89.2
David Peralta,89.2
Paul Goldschmidt,89.2
Marwin Gonzalez,89.2
Paul DeJong,89.2
Brett Gardner,89.2
Bo Bichette,89.2
Yuli Gurriel,89.3
Cody Bellinger,89.3
Jesus Aguilar,89.3
Clint Frazier,89.3
Javier Baez,89.4
Kole Calhoun,89.4
Manuel Margot,89.4
Hunter Renfroe,89.4
J.D. Martinez,89.5
Asdrubal Cabrera,89.5
Daniel Vogelbach,89.5
AJ Pollock,89.6
Justin Smoak,89.6
Andrew McCutchen,89.7
Mark Canha,89.7
Austin Nola,89.7
Jake Cronenworth,89.8
Brandon Lowe,89.8
Dominic Smith,89.8
Willson Contreras,89.8
Rhys Hoskins,89.8
Ryan Braun,89.8
Brad Miller,89.8
Francisco Lindor,89.9
Trevor Story,89.9
Nick Solak,89.9
Brian Goodwin,89.9
Victor Reyes,90
Shin-Soo Choo,90
Anthony Rendon,90.1
J.D. Davis,90.1
Ryan McMahon,90.1
Garrett Cooper,90.1
Austin Meadows,90.1
Manny Machado,90.2
Pete Alonso,90.2
Jeimer Candelario,90.2
Alec Bohm,90.2
J.T. Realmuto,90.2
Yoshi Tsutsugo,90.2
Justin Turner,90.3
Yasmani Grandal,90.3
Christian Walker,90.4
Robinson Cano,90.4
Dylan Moore,90.4
Trea Turner,90.5
Adalberto Mondesi,90.6
Jo Adell,90.6
Mookie Betts,90.7
Brandon Belt,90.7
Rowdy Tellez,90.7
Ryan O'Hearn,90.7
Lourdes Gurriel Jr.,90.8
Eric Hosmer,90.8
Will Smith,90.8
Alex Dickerson,90.9
Travis Shaw,90.9
Nick Castellanos,91
Wil Myers,91
Austin Riley,91
Salvador Perez,91
Nomar Mazara,91
Kyle Tucker,91.1
Ian Happ,91.1
Joey Gallo,91.2
Byron Buxton,91.2
DJ LeMahieu,91.3
Gio Urshela,91.4
Nelson Cruz,91.6
Gary Sanchez,91.6
Evan Longoria,91.7
Josh Bell,91.7
Justin Upton,91.7
Evan White,91.7
Tyler Naquin,91.7
Colin Moran,91.9
Juan Soto,92.1
Jesse Winker,92.1
Sean Murphy,92.2
Matt Olson,92.3
Freddie Freeman,92.4
Eloy Jimenez,92.4
Franmil Reyes,92.4
Ronald Acuna Jr.,92.4
David Bote,92.4
Vladimir Guerrero Jr.,92.5
Bryce Harper,92.5
Jorge Soler,92.5
Kyle Schwarber,92.8
Jose Abreu,92.9
Gregory Polanco,92.9
Marcell Ozuna,93
Rafael Devers,93
Joc Pederson,93
Corey Seager,93.2
Miguel Cabrera,93.2
Teoscar Hernandez,93.3
Travis d'Arnaud,93.4
Matt Chapman,93.6
Mike Trout,93.7
Christian Yelich,94
Miguel Sano,95.2
Fernando Tatis Jr.,95.9
