Player,Pos,Age,Tm,G,GS,MP,FGA,FG_PCT,3P,3PA,3P_PCT,2P,2PA,2P_PCT,EFG,FT,FTA,FT_PCT,ORB,DRB,TRB,AST,STL,BLK
CJ McCollum,SG,28,POR,70,70,36.5,19.4,0.451,2.8,7.3,0.379,6,12.1,0.494,0.522,2,2.6,0.757,0.7,3.6,4.2,4.4,0.8,0.6
Devin Booker,SG,23,PHO,70,70,35.9,18.3,0.489,2,5.7,0.354,6.9,12.6,0.549,0.544,6.7,7.3,0.919,0.4,3.8,4.2,6.5,0.7,0.3
Harrison Barnes,PF,27,SAC,72,72,34.5,11,0.46,1.4,3.7,0.381,3.7,7.3,0.501,0.525,3,3.7,0.801,1.1,3.9,4.9,2.2,0.6,0.2
James Harden,SG,30,HOU,68,68,36.5,22.3,0.444,4.4,12.4,0.355,5.5,9.9,0.556,0.543,10.2,11.8,0.865,1,5.5,6.6,7.5,1.8,0.9
Damian Lillard,PG,29,POR,66,66,37.5,20.4,0.463,4.1,10.2,0.401,5.4,10.2,0.524,0.563,7,7.8,0.888,0.5,3.8,4.3,8,1.1,0.3
Tobias Harris,PF,27,PHI,72,72,34.3,16.3,0.471,1.8,5,0.367,5.9,11.3,0.517,0.527,2.4,3,0.806,1,5.9,6.9,3.2,0.7,0.6
P.J. Tucker,PF,34,HOU,72,72,34.3,5.9,0.415,1.5,4.2,0.358,1,1.8,0.551,0.541,0.5,0.7,0.813,1.6,5.1,6.6,1.6,1.1,0.5
Shai Gilgeous-Alexander,SG,21,OKC,70,70,34.7,14.5,0.471,1.2,3.6,0.347,5.6,10.9,0.512,0.514,4.1,5.1,0.807,0.7,5.2,5.9,3.3,1.1,0.7
Bam Adebayo,PF,22,MIA,72,72,33.6,11,0.557,0,0.2,0.143,6.1,10.8,0.564,0.558,3.7,5.3,0.691,2.4,7.8,10.2,5.1,1.1,1.3
Donovan Mitchell,SG,23,UTA,69,69,34.3,19.4,0.449,2.5,6.9,0.366,6.2,12.6,0.494,0.513,4,4.7,0.863,0.8,3.6,4.4,4.3,1,0.2
Nikola Joki?,C,24,DEN,73,73,32,14.7,0.528,1.1,3.5,0.314,6.6,11.2,0.594,0.565,3.4,4.1,0.817,2.3,7.5,9.7,7,1.2,0.6
Rudy Gobert,C,27,UTA,68,68,34.3,8.2,0.693,0,0,NA,5.7,8.2,0.693,0.693,3.7,5.9,0.63,3.4,10.1,13.5,1.5,0.8,2
DeMar DeRozan,SF,30,SAS,68,68,34.1,15.4,0.531,0.1,0.5,0.257,8.1,14.9,0.54,0.535,5.6,6.6,0.845,0.6,4.9,5.5,5.6,1,0.3
LeBron James,PG,35,LAL,67,67,34.6,19.4,0.493,2.2,6.3,0.348,7.4,13.1,0.564,0.55,3.9,5.7,0.693,1,6.9,7.8,10.2,1.2,0.5
Jayson Tatum,PF,21,BOS,66,66,34.3,18.6,0.45,2.9,7.1,0.403,5.5,11.5,0.48,0.527,3.8,4.7,0.812,1,6,7,3,1.4,0.9
Chris Paul,PG,34,OKC,70,70,31.5,12.7,0.489,1.6,4.3,0.365,4.6,8.3,0.554,0.552,3.6,4,0.907,0.4,4.6,5,6.7,1.6,0.2
T.J. Warren,SF,26,IND,67,67,32.9,14.9,0.536,1.4,3.4,0.403,6.6,11.5,0.575,0.581,2.5,3,0.819,1,3.2,4.2,1.5,1.2,0.5
Terry Rozier,PG,25,CHO,63,63,34.3,14.9,0.423,2.7,6.7,0.407,3.6,8.2,0.436,0.514,2.6,3,0.874,0.8,3.6,4.4,4.1,1,0.2
Domantas Sabonis,PF,23,IND,62,62,34.8,13.7,0.54,0.3,1.1,0.254,7.1,12.6,0.565,0.55,3.5,4.8,0.723,3,9.4,12.4,5,0.8,0.5
Collin Sexton,SG,21,CLE,65,65,33,16.7,0.472,1.5,3.9,0.38,6.4,12.8,0.501,0.517,3.5,4.1,0.846,0.9,2.2,3.1,3,1,0.1
Anthony Davis,PF,26,LAL,62,62,34.4,17.7,0.503,1.2,3.5,0.33,7.7,14.2,0.546,0.536,7.2,8.5,0.846,2.3,7,9.3,3.2,1.5,2.3
Joe Harris,SF,28,BRK,69,69,30.8,11.4,0.486,2.5,5.9,0.424,3,5.5,0.553,0.596,0.9,1.3,0.719,0.9,3.4,4.3,2.1,0.6,0.2
Trae Young,PG,21,ATL,60,60,35.3,20.8,0.437,3.4,9.5,0.361,5.7,11.4,0.501,0.519,8,9.3,0.86,0.5,3.7,4.3,9.3,1.1,0.1
Jrue Holiday,SG,29,NOP,61,61,34.7,16.5,0.455,2,5.7,0.353,5.5,10.8,0.509,0.516,2.1,3,0.709,1.3,3.5,4.8,6.7,1.6,0.8
Pascal Siakam,PF,25,TOR,60,60,35.2,18.4,0.453,2.2,6.1,0.359,6.2,12.3,0.499,0.512,4,5.1,0.792,1.1,6.3,7.3,3.5,1,0.9
Dillon Brooks,SG,24,MEM,73,73,28.9,14.6,0.407,2,5.6,0.358,3.9,9,0.438,0.476,2.2,2.8,0.808,0.9,2.4,3.3,2.1,0.9,0.4
Brandon Ingram,PF,22,NOP,62,62,33.9,17.7,0.463,2.4,6.2,0.391,5.8,11.5,0.501,0.531,5,5.9,0.851,0.8,5.3,6.1,4.2,1,0.6
Kyle Lowry,PG,33,TOR,58,58,36.2,13.8,0.416,2.8,8,0.352,2.9,5.8,0.504,0.518,5.1,5.9,0.857,0.6,4.5,5,7.5,1.4,0.4
Zach LaVine,SG,24,CHI,60,60,34.8,20,0.45,3.1,8.1,0.38,5.9,11.9,0.497,0.526,4.5,5.6,0.802,0.7,4.1,4.8,4.2,1.5,0.5
Bojan Bogdanovi?,SF,30,UTA,63,63,33.1,14.8,0.447,3,7.3,0.414,3.6,7.6,0.479,0.548,4,4.4,0.903,0.6,3.5,4.1,2.1,0.5,0.1
Julius Randle,PF,25,NYK,64,64,32.5,15.7,0.46,1,3.6,0.277,6.2,12.1,0.515,0.492,4,5.5,0.733,2.4,7.4,9.7,3.1,0.8,0.3
Evan Fournier,SG,27,ORL,66,66,31.5,14.1,0.467,2.6,6.6,0.399,4,7.5,0.527,0.56,2.7,3.3,0.818,0.3,2.3,2.6,3.2,1.1,0.2
Ja Morant,PG,20,MEM,67,67,31,14,0.477,0.9,2.7,0.335,5.8,11.3,0.511,0.509,3.6,4.6,0.776,0.8,3.1,3.9,7.3,0.9,0.3
Robert Covington,PF,29,TOT,70,68,30.5,10.3,0.422,2.3,6.9,0.335,2.1,3.5,0.593,0.533,1.4,1.8,0.798,0.9,5.7,6.6,1.3,1.6,1.3
Bradley Beal,SG,26,WAS,57,57,36,22.9,0.455,3,8.4,0.353,7.4,14.4,0.515,0.52,6.8,8,0.842,0.9,3.3,4.2,6.1,1.2,0.4
Luka Don?i?,PG,20,DAL,61,61,33.6,20.6,0.463,2.8,8.9,0.316,6.7,11.7,0.574,0.531,7,9.2,0.758,1.3,8.1,9.4,8.8,1,0.2
Russell Westbrook,PG,31,HOU,57,57,35.9,22.5,0.472,1,3.7,0.258,9.6,18.7,0.514,0.493,5.1,6.7,0.763,1.8,6.2,7.9,7,1.6,0.4
OG Anunoby,SF,22,TOR,69,68,29.9,8.2,0.505,1.3,3.3,0.39,2.9,4.9,0.583,0.584,1,1.5,0.706,1.2,4.1,5.3,1.6,1.4,0.7
Dorian Finney-Smith,PF,26,DAL,71,68,29.9,7.4,0.466,1.6,4.3,0.376,1.8,3.1,0.589,0.575,1.1,1.5,0.722,2,3.7,5.7,1.6,0.6,0.5
Duncan Robinson,SG,25,MIA,73,68,29.7,9.4,0.47,3.7,8.3,0.446,0.7,1.1,0.654,0.667,0.9,1,0.931,0.1,3,3.2,1.4,0.5,0.3
Ben Simmons,PG,23,PHI,57,57,35.4,11.4,0.58,0,0.1,0.286,6.5,11.2,0.583,0.581,3.2,5.2,0.621,2,5.8,7.8,8,2.1,0.6
Aaron Gordon,PF,24,ORL,62,62,32.5,12.4,0.437,1.2,3.8,0.308,4.2,8.5,0.494,0.484,2.4,3.6,0.674,1.7,5.9,7.7,3.7,0.8,0.6
Ricky Rubio,PG,29,PHO,65,65,31,10.6,0.415,1.2,3.3,0.361,3.2,7.3,0.439,0.471,3,3.5,0.863,0.7,4,4.7,8.8,1.4,0.2
Nikola Vu?evi?,C,29,ORL,62,62,32.2,16.7,0.477,1.6,4.7,0.339,6.4,12,0.531,0.525,2.1,2.7,0.784,2.3,8.6,10.9,3.6,0.9,0.8
De'Andre Hunter,SF,22,ATL,63,62,32,10.8,0.41,1.7,4.8,0.355,2.7,6,0.454,0.489,1.7,2.3,0.764,0.7,3.8,4.5,1.8,0.7,0.3
Miles Bridges,SF,21,CHO,65,64,30.7,11.6,0.424,1.5,4.6,0.33,3.4,7,0.486,0.489,1.6,2,0.809,1.4,4.2,5.6,1.8,0.6,0.7
Kendrick Nunn,SG,24,MIA,67,67,29.3,13.6,0.439,2,5.8,0.35,3.9,7.8,0.505,0.514,1.3,1.5,0.85,0.3,2.4,2.7,3.3,0.8,0.2
Jimmy Butler,SF,30,MIA,58,58,33.8,13.1,0.455,0.5,2.1,0.244,5.4,11,0.495,0.474,7.6,9.1,0.834,1.8,4.8,6.7,6,1.8,0.6
Marcus Morris,SF,30,TOT,62,62,31.2,13.1,0.438,2.3,5.6,0.408,3.4,7.5,0.461,0.526,2.9,3.5,0.823,1,4.1,5,1.4,0.8,0.5
Jaylen Brown,SF,23,BOS,57,57,33.9,15.6,0.481,2.3,5.9,0.382,5.2,9.6,0.543,0.554,3.1,4.3,0.724,1.1,5.3,6.4,2.1,1.1,0.4
Fred VanVleet,PG,25,TOR,54,54,35.7,14.3,0.413,2.7,6.9,0.39,3.2,7.4,0.434,0.507,3.1,3.7,0.848,0.3,3.4,3.8,6.6,1.9,0.3
Giannis Antetokounmpo,PF,25,MIL,63,63,30.4,19.7,0.553,1.4,4.7,0.304,9.5,15,0.631,0.589,6.3,10,0.633,2.2,11.4,13.6,5.6,1,1
Will Barton,SF,29,DEN,58,58,33,12.7,0.45,1.9,5,0.375,3.9,7.8,0.498,0.523,1.8,2.3,0.767,1.3,5,6.3,3.7,1.1,0.5
Cedi Osman,SF,24,CLE,65,65,29.4,9.4,0.437,1.9,4.9,0.383,2.2,4.4,0.497,0.538,1,1.4,0.67,0.6,3,3.6,2.4,0.8,0.2
Jamal Murray,PG,22,DEN,59,59,32.3,15.2,0.456,1.9,5.5,0.346,5,9.7,0.519,0.519,2.8,3.1,0.881,0.8,3.2,4,4.8,1.1,0.3
Carmelo Anthony,PF,35,POR,58,58,32.8,13.5,0.43,1.5,3.9,0.385,4.3,9.6,0.448,0.485,2.3,2.8,0.845,1.2,5.1,6.3,1.5,0.8,0.5
Kelly Oubre Jr.,SF,24,PHO,56,55,34.5,14.8,0.452,1.9,5.5,0.352,4.7,9.3,0.511,0.517,3.4,4.4,0.78,1.2,5.3,6.4,1.5,1.3,0.7
Nemanja Bjelica,PF,31,SAC,72,67,27.9,9.1,0.481,1.9,4.4,0.419,2.5,4.6,0.541,0.583,1,1.2,0.821,1.5,4.8,6.4,2.8,0.9,0.6
Devonte' Graham,PG,24,CHO,63,53,35.1,15.3,0.382,3.5,9.3,0.373,2.4,6,0.397,0.495,3,3.7,0.82,0.7,2.7,3.4,7.5,1,0.2
Andrew Wiggins,SF,24,TOT,54,54,34.4,18.1,0.447,2.1,6.2,0.332,6,11.9,0.506,0.504,3.5,5,0.709,1.2,3.9,5.1,3.7,0.8,1
Tomáš Satoranský,PG,28,CHI,65,64,28.9,8.5,0.43,1,3.1,0.322,2.7,5.4,0.491,0.488,1.6,1.9,0.876,1.2,2.7,3.9,5.4,1.2,0.1
Andre Drummond,C,26,TOT,57,56,33,13.8,0.533,0.1,0.6,0.143,7.2,13.1,0.551,0.536,3,5.2,0.575,4.4,10.8,15.2,2.7,1.9,1.6
Jonas Valan?i?nas,C,27,MEM,70,70,26.4,10.6,0.585,0.5,1.3,0.352,5.7,9.3,0.617,0.606,2.1,2.9,0.74,3,8.2,11.3,1.9,0.4,1.1
Kawhi Leonard,SF,28,LAC,57,57,32.4,19.9,0.47,2.2,5.7,0.378,7.2,14.2,0.506,0.524,6.2,7.1,0.886,0.9,6.1,7.1,4.9,1.8,0.6
Al Horford,C,33,PHI,67,61,30.2,10.6,0.45,1.5,4.2,0.35,3.3,6.4,0.516,0.52,0.9,1.2,0.763,1.5,5.3,6.8,4,0.8,0.9
Danilo Gallinari,PF,31,OKC,62,62,29.6,13.2,0.438,2.9,7.1,0.405,2.9,6.1,0.476,0.547,4.3,4.8,0.893,0.5,4.6,5.2,1.9,0.7,0.1
Hassan Whiteside,C,30,POR,67,61,30,10.5,0.621,0.1,0.1,0.571,6.4,10.4,0.622,0.624,2.4,3.6,0.686,3.9,9.7,13.5,1.2,0.4,2.9
Myles Turner,C,23,IND,62,62,29.5,9.5,0.457,1.4,4,0.344,2.9,5.4,0.54,0.53,2,2.7,0.751,1.4,5.2,6.6,1.2,0.7,2.1
Darius Garland,PG,20,CLE,59,59,30.9,11.8,0.401,1.8,5,0.355,3,6.8,0.434,0.476,1.1,1.2,0.875,0.5,1.4,1.9,3.9,0.7,0.1
Kristaps Porzi??is,PF,24,DAL,57,57,31.8,16.4,0.427,2.5,7.1,0.352,4.5,9.3,0.484,0.503,4,5,0.799,1.8,7.7,9.5,1.8,0.7,2
Royce O'Neale,PF,26,UTA,71,62,28.9,5.1,0.433,1.3,3.4,0.377,0.9,1.7,0.545,0.559,0.6,0.8,0.764,0.4,5.1,5.5,2.5,0.8,0.5
Brook Lopez,C,31,MIL,68,67,26.7,9.9,0.435,1.5,4.8,0.314,2.8,5.1,0.549,0.511,1.9,2.2,0.836,0.9,3.7,4.6,1.5,0.7,2.4
Kevin Love,PF,31,CLE,56,56,31.8,13,0.45,2.6,7,0.374,3.2,6,0.537,0.55,3.3,3.9,0.854,1,8.8,9.8,3.2,0.6,0.3
Taurean Prince,SF,25,BRK,64,61,29,11.5,0.376,2.3,6.7,0.339,2.1,4.8,0.429,0.475,1.1,1.4,0.798,0.8,5.2,6,1.8,0.9,0.4
Khris Middleton,SF,28,MIL,62,59,29.9,15.3,0.497,2.4,5.7,0.415,5.2,9.6,0.546,0.575,3.4,3.7,0.916,0.7,5.5,6.2,4.3,0.9,0.1
LaMarcus Aldridge,C,34,SAS,53,53,33.1,15,0.493,1.2,3,0.389,6.2,12,0.519,0.532,3,3.6,0.827,1.9,5.5,7.4,2.4,0.7,1.6
Gary Harris,SG,25,DEN,56,55,31.8,9.3,0.42,1.3,3.8,0.333,2.6,5.5,0.479,0.487,1.3,1.6,0.815,0.5,2.4,2.9,2.1,1.4,0.3
Gordon Hayward,SF,29,BOS,52,52,33.5,13.5,0.5,1.6,4.3,0.383,5.1,9.2,0.554,0.561,2.4,2.8,0.855,1.1,5.6,6.7,4.1,0.7,0.4
Kemba Walker,PG,29,BOS,56,56,31.1,15.9,0.425,3.2,8.4,0.381,3.5,7.4,0.476,0.526,3.7,4.3,0.864,0.6,3.2,3.9,4.8,0.9,0.5
Lonzo Ball,PG,22,NOP,63,54,32.1,10.9,0.403,2.3,6.3,0.375,2,4.6,0.442,0.511,0.7,1.2,0.566,1.1,5,6.1,7,1.4,0.6
P.J. Washington,PF,21,CHO,58,57,30.3,10.2,0.455,1.5,4,0.374,3.1,6.2,0.507,0.528,1.5,2.3,0.647,1,4.4,5.4,2.1,0.9,0.8
Tim Hardaway Jr.,SG,27,DAL,71,58,29.5,12.5,0.434,2.9,7.2,0.398,2.5,5.2,0.485,0.55,2.1,2.6,0.819,0.4,2.9,3.3,1.9,0.6,0.1
Jarrett Allen,C,21,BRK,70,64,26.5,6.6,0.649,0,0.1,0,4.3,6.6,0.658,0.649,2.4,3.9,0.633,3.1,6.5,9.6,1.6,0.6,1.3
Danny Green,SG,32,LAL,68,68,24.8,7,0.416,1.8,4.8,0.367,1.1,2.2,0.524,0.542,0.5,0.7,0.688,0.8,2.6,3.3,1.3,1.3,0.5
Steven Adams,C,26,OKC,63,63,26.7,7.6,0.592,0,0,0.333,4.5,7.5,0.594,0.593,1.9,3.2,0.582,3.3,6,9.3,2.3,0.8,1.1
