Name,BA
Tim Anderson,.335
Ketel Marte,.329
Christian Yelich,.329
DJ LeMahieu,.327
Anthony Rendon,.319
Jeff McNeil,.318
Nolan Arenado,.315
Yoan Moncada,.315
Charlie Blackmon,.314
Bryan Reynolds,.314
Michael Brantley,.311
Nelson Cruz,.311
Rafael Devers,.311
Xander Bogaerts,.309
Kevin Newman,.308
Hanser Alberto,.305
Cody Bellinger,.305
J.D. Martinez,.304
Whit Merrifield,.302
Jose Altuve,.298
Yuli Gurriel,.298
Trea Turner,.298
Alex Bregman,.296
Ozzie Albies,.295
Mookie Betts,.295
Freddie Freeman,.295
Starling Marte,.295
Jorge Polanco,.295
Trevor Story,.294
Anthony Rizzo,.293
George Springer,.292
Trey Mancini,.291
Austin Meadows,.291
Mike Trout,.291
David Fletcher,.290
Justin Turner,.290
Nicholas Castellanos,.289
José Iglesias,.288
Wilson Ramos,.288
Amed Rosario,.287
Ryan Braun,.285
Marcus Semien,.285
Kolten Wong,.285
José Abreu,.284
Francisco Lindor,.284
Miguel Rojas,.284
Danny Santana,.283
Kris Bryant,.282
Miguel Cabrera,.282
Avisail Garcia,.282
Juan Soto,.282
Javier Baez,.281
Carlos Santana,.281
Ronald Acuna Jr.,.280
Jean Segura,.280
Hunter Dozier,.279
Adam Eaton,.279
Leury Garcia,.279
Cesar Hernandez,.279
Adam Frazier,.278
Gleyber Torres,.278
Josh Bell,.277
Colin Moran,.277
Eddie Rosario,.276
Christian Vazquez,.276
Elvis Andrus,.275
J.T. Realmuto,.275
Josh Reddick,.275
Jonathan Villar,.274
Tommy Pham,.273
Vladimir Guerrero Jr.,.272
Corey Seager,.272
Eugenio Suarez,.271
Starlin Castro,.270
Eduardo Escobar,.269
Eloy Jimenez,.267
Matt Olson,.267
Yasiel Puig,.267
Andrew Benintendi,.266
Alex Gordon,.266
Shin-Soo Choo,.265
Eric Hosmer,.265
Jorge Soler,.265
Luke Voit,.263
Brian Anderson,.261
Joey Votto,.261
Pete Alonso,.260
Asdrubal Cabrera,.260
Lorenzo Cain,.260
Freddy Galvis,.260
Paul Goldschmidt,.260
Bryce Harper,.260
Adam Jones,.260
Josh Donaldson,.259
Kevin Pillar,.259
Christian Walker,.259
Michael Conforto,.257
Manny Machado,.256
Jose Ramirez,.255
Victor Robles,.255
Willy Adames,.254
Nick Ahmed,.254
Evan Longoria,.254
Mike Moustakas,.254
Domingo Santana,.253
Max Kepler,.252
Yolmer Sanchez,.252
Brett Gardner,.251
Jason Heyward,.251
Max Muncy,.251
Dansby Swanson,.251
Ryan McMahon,.250
Kyle Schwarber,.250
Matt Chapman,.249
Joc Pederson,.249
Franmil Reyes,.249
Yasmani Grandal,.246
Jason Kipnis,.245
Renato Nunez,.244
Albert Pujols,.244
Marcell Ozuna,.241
Dexter Fowler,.238
Brandon Belt,.234
Paul DeJong,.233
Kole Calhoun,.232
Randal Grichuk,.232
Brandon Crawford,.228
Mallex Smith,.227
Rhys Hoskins,.226
Jackie Bradley Jr.,.225
Orlando Arcia,.223
Khris Davis,.220
Jurickson Profar,.218
Daniel Vogelbach,.208
Rougned Odor,.205
