Game_No,Point_Diff,FTA
1,8,37
2,4,62
3,17,39
4,38,39
5,6,46
6,26,41
7,6,58
8,13,47
9,14,27
10,1,44
11,6,39
12,13,43
13,1,47
14,4,77
15,4,51
16,13,59
17,6,37
18,15,61
19,3,63
20,13,35
21,18,41
22,12,56
23,3,56
24,22,44
25,8,61
26,8,36
27,27,51
28,9,40
29,17,54
30,3,47
31,3,51
32,9,55
33,9,50
34,18,46
35,4,63
36,7,43
37,5,34
38,2,53
39,5,45
40,22,34
41,11,49
42,7,58
43,13,52
44,29,36
45,8,50
46,16,61
47,10,37
48,15,37
49,15,40
50,14,65
51,15,58
52,34,56
53,10,57
54,19,66
55,6,50
56,9,55
57,9,59
58,8,54
59,6,68
60,11,42
61,2,42
62,4,62
63,3,43
64,8,58
65,2,62
66,10,55
67,11,30
68,8,71
69,4,52
70,2,60
71,4,55
72,16,58
73,2,53
74,4,50
75,8,65
76,15,63
77,6,48
78,23,64
79,16,48
80,20,61
81,4,77
82,9,49
83,7,69
84,13,55
85,5,90
86,10,54
87,2,67
88,2,48
