Name,Team,W,L,SV,G,GS,IP,K9,BB9,HR9,BABIP,LOB,GB,HR_FB,EV,ERA,FIP,xFIP,WAR,playerid
Gerrit Cole,HOU,20,5,0,33,33,212.1,13.82,2.03,1.23,0.275,0.833,0.403,0.169,87.6,2.5,2.64,2.48,7.3,13125
Jacob deGrom,NYM,11,8,0,32,32,204,11.25,1.94,0.84,0.282,0.818,0.444,0.112,86.5,2.43,2.67,3.11,7,10954
Lance Lynn,TEX,16,11,0,33,33,208.1,10.63,2.55,0.91,0.322,0.744,0.403,0.099,87.9,3.67,3.13,3.85,6.7,2520
Max Scherzer,WSN,11,7,0,27,27,172.1,12.69,1.72,0.94,0.321,0.787,0.408,0.116,87.6,2.92,2.45,2.88,6.5,3137
Justin Verlander,HOU,21,6,0,34,34,223,12.11,1.7,1.45,0.218,0.884,0.359,0.160,87.2,2.58,3.27,3.18,6.3,8700
Charlie Morton,TBR,16,6,0,33,33,194.2,11.1,2.64,0.69,0.298,0.752,0.482,0.104,86.9,3.05,2.81,3.28,6.1,4676
Stephen Strasburg,WSN,18,6,0,33,33,209,10.81,2.41,1.03,0.274,0.765,0.511,0.162,87.9,3.32,3.25,3.17,5.6,10131
Shane Bieber,CLE,15,8,0,34,33,214.1,10.88,1.68,1.3,0.296,0.774,0.439,0.161,90.6,3.28,3.32,3.23,5.6,19427
Zack Greinke,- - -,18,5,0,33,33,208.2,8.07,1.29,0.91,0.271,0.757,0.452,0.109,87.5,2.93,3.22,3.74,5.4,1943
Lucas Giolito,CHW,14,9,0,29,29,176.2,11.62,2.9,1.22,0.273,0.777,0.360,0.136,88.1,3.41,3.43,3.66,5.1,15474
Walker Buehler,LAD,14,4,0,30,30,182.1,10.61,1.83,0.99,0.29,0.710,0.427,0.122,89.3,3.26,3.01,3.37,5,19374
Hyun-Jin Ryu,LAD,14,5,0,29,29,182.2,8.03,1.18,0.84,0.278,0.822,0.504,0.130,86.6,2.32,3.1,3.32,4.8,14444
Jack Flaherty,STL,11,8,0,33,33,196.1,10.59,2.52,1.15,0.242,0.833,0.395,0.138,86.6,2.75,3.46,3.64,4.8,17479
Patrick Corbin,WSN,14,7,0,33,33,202,10.6,3.12,1.07,0.29,0.773,0.495,0.144,89.9,3.25,3.49,3.59,4.7,9323
Zack Wheeler,NYM,11,8,0,31,31,195.1,8.98,2.3,1.01,0.311,0.714,0.432,0.109,87,3.96,3.48,4.06,4.7,10310
Sonny Gray,CIN,11,8,0,31,31,175.1,10.52,3.49,0.87,0.255,0.797,0.508,0.130,88.1,2.87,3.42,3.65,4.4,12768
Noah Syndergaard,NYM,10,8,0,32,32,197.2,9.2,2.28,1.09,0.313,0.689,0.480,0.133,86.8,4.28,3.6,3.83,4.4,11762
Jose Berrios,MIN,14,8,0,32,32,200.1,8.76,2.29,1.17,0.299,0.735,0.421,0.120,87,3.68,3.85,4.32,4.3,14168
